No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
289,W4 (WISE),4.796,+/-0.016,mag,1.36E13,0.101,0.00149,0.00149,,,+/-1.49E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data
290,22 microns WISE AB,10.39,+/-0.10,mag,1.35E13,0.254,0.0234,0.0234,,,+/-2.34E-02,Jy,2014ApJS..212...18B,uncertainty,221400   A,Broad-band measurement,187.70578000 12.39117000 (J2000),Flux in fixed aperture,"300""x300"" aperture",From new raw data; Extinction-corrected for Milky Way
291,22 microns WISE AB,10.46,+/-0.10,mag,1.35E13,0.238,0.0219,0.0219,,,+/-2.19E-02,Jy,2014ApJS..212...18B,uncertainty,221400   A,Broad-band measurement,187.70578000 12.39117000 (J2000),Flux in fixed aperture,"300""x300"" aper; Filter curve corr",From new raw data; Extinction-corrected for Milky Way
292,22 microns WISE AB,10.39,+/-0.10,mag,1.35E13,0.254,0.0234,0.0234,,,+/-2.34E-02,Jy,2014ApJS..212...18B,uncertainty,221400   A,Broad-band measurement,187.70578000 12.39117000 (J2000),Flux in fixed aperture,"300""x300"" aperture",From new raw data
293,22 microns WISE AB,10.46,+/-0.10,mag,1.35E13,0.238,0.0219,0.0219,,,+/-2.19E-02,Jy,2014ApJS..212...18B,uncertainty,221400   A,Broad-band measurement,187.70578000 12.39117000 (J2000),Flux in fixed aperture,"300""x300"" aper; Filter curve corr",From new raw data
294,W4 (WISE),0.219,+/-0.003,Jy,1.35E13,0.219,0.003,0.003,,,+/-3.00E-03,Jy,2013AJ....145....6J,uncertainty,22 microns,Broad-band measurement,187.70595 12.39088 (J2000),Flux in fixed aperture,,From reprocessed raw data
295,24 microns MIPS AB,10.43,+/-0.10,mag,1.28E13,0.244,0.0225,0.0225,,,+/-2.25E-02,Jy,2014ApJS..212...18B,uncertainty,235100   A,Broad-band measurement,187.70578000 12.39117000 (J2000),Flux in fixed aperture,"300""x300"" aperture",From new raw data; Extinction-corrected for Milky Way
296,24 microns MIPS AB,10.43,+/-0.10,mag,1.28E13,0.244,0.0224,0.0224,,,+/-2.24E-02,Jy,2014ApJS..212...18B,uncertainty,235100   A,Broad-band measurement,187.70578000 12.39117000 (J2000),Flux in fixed aperture,"300""x300"" aperture",From new raw data
297,24 microns (MIPS),154.0,+/-9,milliJy,1.27E13,0.154,0.009,0.009,,,+/-9.00E-03,Jy,2009ApJ...707..890T,uncertainty,23.68 microns,Broad-band measurement,,Flux in fixed aperture,,From reprocessed raw data
298,24 microns (MIPS),151.0,+/-9,milliJy,1.27E13,0.151,0.009,0.009,,,+/-9.00E-03,Jy,2009ApJ...695....1T,uncertainty,23.68 microns,Broad-band measurement,,Total flux,,From reprocessed raw data
299,24 microns (MIPS),50.7,,milliJy,1.27E13,0.0507,,,,,,Jy,2007ApJ...655..781S,no uncertainty reported,23.68   microns,Broad-band measurement,,From fitting to map,Nucleus flux,From new raw data
300,MIPS-24 (Spitzer),0.185,+/-0.004,Jy,1.27E13,0.185,0.004,0.004,,,+/-4.00E-03,Jy,2013AJ....145....6J,uncertainty,23.68 microns,Broad-band measurement,187.70595 12.39088 (J2000),Flux in fixed aperture,,From reprocessed raw data
301,24 microns (MIPS),171.9,+/-13.4,milliJy,1.27E13,0.172,0.0134,0.0134,,,+/-1.34E-02,Jy,2007ApJ...655..781S,uncertainty,23.68   microns,Broad-band measurement,,Total flux,,From new raw data
302,24 microns (MIPS),38751.0,+/-3.9509E+01,microJy,1.27E13,0.0388,3.95E-5,3.95E-5,,,+/-3.95E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Modelled datum,PSF fit,From new raw data
303,24 microns (MIPS),52479.0,+/-3.3123E+01,microJy,1.27E13,0.0525,3.31E-5,3.31E-5,,,+/-3.31E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Flux in fixed aperture,"14.7"" aperture",From new raw data
306,25 microns (IRAS),187.0,+/-15  %,milliJy,1.2E13,0.187,0.0281,0.0281,,,+/-2.81E-02,Jy,1988AJ.....95...26G,typical accuracy,25         microns,Broad-band measurement,,From fitting to map,From coadded survey scans,From new raw data
307,25 microns (IRAS),,<0.051,Jy,1.2E13,,,,0.051,,<5.10E-02,Jy,1994PrivC.U..J....K,1 sigma,25         microns,Broad-band measurement,122818. +123958 (B1950),From fitting to map,,From reprocessed raw data
308,25 microns (IRAS),,<2.409E-01,Jy,1.2E13,,,,0.241,,<2.41E-01,Jy,1990IRASF.C...0000M,90% confidence,25        microns,Broad-band measurement,122816.4 +124009 (B1950),Flux in fixed aperture,,From new raw data
313,60 microns (IRAS),0.39,+/-0.040,Jy,5.0E12,0.39,0.04,0.04,,,+/-4.00E-02,Jy,1994PrivC.U..J....K,1 sigma,60         microns,Broad-band measurement,122818. +123958 (B1950),From fitting to map,,From reprocessed raw data
314,60 microns (ISO),,<0.30,Jy,5.0E12,,,,0.3,,<3.00E-01,Jy,2004ApJS..151..237T,3 sigma,60   microns,Broad-band measurement,12 30 48.83 +12 23 32.2 (J2000),Flux integrated from map,,From reprocessed raw data
315,60 microns (IRAS),546.0,+/-15  %,milliJy,5.0E12,0.546,0.0819,0.0819,,,+/-8.19E-02,Jy,1988AJ.....95...26G,typical accuracy,60         microns,Broad-band measurement,,From fitting to map,From coadded survey scans,From new raw data
316,60 microns (IRAS),0.3939,+/-13  %,Jy,5.0E12,0.394,0.0512,0.0512,,,+/-5.12E-02,Jy,1990IRASF.C...0000M,uncertainty,60        microns,Broad-band measurement,122816.4 +124009 (B1950),Flux in fixed aperture,IRAS quality flag = 3,From new raw data
320,65 microns (AKARI),493.03,+/-402.78,milliJy,4.61E12,0.493,0.403,0.403,,,+/-4.03E-01,Jy,2017A&A...605A..74K,uncertainty,65 microns,Broad-band measurement,,Total flux,,From new raw data
321,70 microns (MIPS),455.2,+/-9.2,milliJy,4.2E12,0.455,0.0092,0.0092,,,+/-9.20E-03,Jy,2007ApJ...655..781S,uncertainty,71.42   microns,Broad-band measurement,,Total flux,,From new raw data
322,70 microns (MIPS),460.0,+/-14,milliJy,4.2E12,0.46,0.014,0.014,,,+/-1.40E-02,Jy,2009ApJ...695....1T,uncertainty,71.42 microns,Broad-band measurement,,Total flux,,From reprocessed raw data
323,70 microns (MIPS),483.0,+/-44,milliJy,4.2E12,0.483,0.044,0.044,,,+/-4.40E-02,Jy,2009ApJ...707..890T,uncertainty,71.42 microns,Broad-band measurement,,Flux in fixed aperture,,From reprocessed raw data
324,70 microns (MIPS),228.0,,milliJy,4.2E12,0.228,,,,,,Jy,2007ApJ...655..781S,no uncertainty reported,71.42   microns,Broad-band measurement,12 30 49.42 +12 23 27.97 (J2000),From fitting to map,Nucleus flux,From new raw data
325,90 microns (ISO),,<0.32,Jy,3.33E12,,,,0.32,,<3.20E-01,Jy,2004ApJS..151..237T,3 sigma,90   microns,Broad-band measurement,12 30 48.83 +12 23 32.2 (J2000),Flux integrated from map,,From reprocessed raw data
