No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
151,0.1-2.4 keV (Swift),5.43E-12,,erg/cm^2^/s,3.02E17,1.8E-6,,,,,,Jy,2010A&A...520A..47M,no uncertainty reported,1.25 keV,Broad-band measurement,201.365 -43.019 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
152,0.1-2.4 keV (ROSAT),5.425E-12,,erg/cm^2^/s,3.02E17,1.8E-6,,,,,,Jy,2009A&A...495..691M,no uncertainty reported,1.25 keV,Broad-band measurement,13 25 27.5 -43 01 08.0 (J2000),Not reported in paper,,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
153,0.1-2.4 keV (RASS),15.1,,erg/cm^2^/s,3.02E17,5.0E-6,,,,,,Jy,2015ApJ...810...14A,no uncertainty reported,1.25 keV,Broad-band measurement,201.36506 -43.01911 (J2000),Not reported in paper,,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
154,1.3 keV (ROSAT),11.03,+/-0.0600,log (Jy Hz),3.02E17,3.55E-7,4.58E-8,4.58E-8,,,+/-4.58E-08,Jy,2001PrivC.U..H....S,uncertainty,17.4800    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data; Extinction-corrected for internal andMilky Way
155,1 keV (Chandra),63000.0,+/-18000,nJy,2.42E17,6.3E-5,1.8E-5,1.8E-5,,,+/-1.80E-05,Jy,2006ApJ...642...96E,uncertainty,1   keV,Broad-band measurement,13 25 27.62 -43 01 08.81 (J2000),Flux in fixed aperture,,From reprocessed raw data
156,1 keV (Chandra),7700.0,+/-4600,nJy,2.42E17,7.7E-6,4.6E-6,4.6E-6,,,+/-4.60E-06,Jy,2006ApJ...642...96E,uncertainty,1   keV,Broad-band measurement,13 25 27.62 -43 01 08.81 (J2000),Flux in fixed aperture,,From reprocessed raw data
157,0.5-1.2 keV Chandra,4.7212E-15,+/-9.1206E-16,erg/cm^2/s,2.22E17,2.12E-9,4.1E-10,4.1E-10,,,+/-4.10E-10,Jy,2020CSC...C2..0000:,68% confidence,0.92       keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;var;ext,From new raw data; Uncorrected for known sources in beam
158,0.5-1.2 keV Chandra,6.5192E-15,+/-3.5674E-16,erg/cm^2/s,2.22E17,2.93E-9,1.6E-10,1.6E-10,,,+/-1.60E-10,Jy,2020CSC...C2..0000:,68% confidence,0.92       keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;var;ext,From new raw data; Uncorrected for known sources in beam
159,0.5-1.2 keV Chandra,,<5.8528E-17,erg/cm^2/s,2.22E17,,,,2.63E-11,,<2.63E-11,Jy,2020CSC...C2..0000:,68% confidence,0.92       keV,Broad-band measurement,,From fitting to map,flux_aper90;var;ext,From new raw data; Uncorrected for known sources in beam
160,0.5-1.2 keV Chandra,3.5585E-16,+/-1.1459E-16,erg/cm^2/s,2.22E17,1.6E-10,5.15E-11,5.15E-11,,,+/-5.15E-11,Jy,2020CSC...C2..0000:,68% confidence,0.92       keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;var;ext,From new raw data; Uncorrected for known sources in beam
161,0.2-0.5 keV Chandra,9.587E-16,+/-4.7935E-16,erg/cm^2/s,9.67E16,9.91E-10,4.96E-10,4.96E-10,,,+/-4.96E-10,Jy,2020CSC...C2..0000:,68% confidence,0.4        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;var;ext,From new raw data; Uncorrected for known sources in beam
162,0.2-0.5 keV Chandra,,<1.4150E-16,erg/cm^2/s,9.67E16,,,,1.46E-10,,<1.46E-10,Jy,2020CSC...C2..0000:,68% confidence,0.4        keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;var;ext,From new raw data; Uncorrected for known sources in beam
163,FUV (GALEX) AB,12.58,+/-0.01,mag,1.98E15,0.0337,3.11E-4,3.11E-4,,,+/-3.11E-04,Jy,2007ApJS..173..185G,uncertainty,1516 A,Broad-band measurement,13 25 27.6 -43 01 08.8 (J2000),Total flux,,From new raw data
164,FUV (GALEX) AB,13.49,+/-0.050,mag,1.98E15,0.0146,6.72E-4,6.72E-4,,,+/-6.72E-04,Jy,2017MNRAS.464.3920S,uncertainty,1516 A,Broad-band measurement,,Flux in fixed aperture,Mag uncorrected for extinction,From reprocessed raw data
165,FUV (GALEX) AB,11.81,+/-0.05,mag,1.96E15,0.0685,0.00316,0.00316,,,+/-3.16E-03,Jy,2017MNRAS.472.3029W,uncertainty,1528 A,Broad-band measurement,,Total flux,,From reprocessed raw data; Extinction-corrected for Milky Way
166,FUV (GALEX),11.83,+/-0.07,mag,1.95E15,0.00965,6.22E-4,6.22E-4,,,+/-6.22E-04,Jy,2015ApJS..220....6B,uncertainty,1539 A,Broad-band measurement,13 25 28.128 -43 01 05.23 (J2000),Flux in fixed aperture,Asymptotic magnitude,From reprocessed raw data
167,FUV (GALEX),11.78,+/-0.01,mag,1.95E15,0.0101,9.31E-5,9.31E-5,,,+/-9.31E-05,Jy,2015ApJS..220....6B,uncertainty,1539 A,Broad-band measurement,13 25 28.128 -43 01 05.23 (J2000),Flux in fixed aperture,D25 magnitude,From reprocessed raw data
168,1540A (IUE),,<6.4800,log (Jy Hz),1.95E15,,,,1.55E-9,,<1.55E-09,Jy,2001PrivC.U..H....S,2 sigma,15.2900    log nu(Hz),Broad-band measurement,,Flux in fixed aperture,,From new raw data
169,1550 A (OAO),3.1E-13,+/-1.3E-13,ergs/cm^2^/s/A,1.93E15,0.0249,0.0104,0.0104,,,+/-1.04E-02,Jy,1979ApJ...228..419W,uncertainty,1550   A,Broad-band measurement,,Flux in fixed aperture,10' aperture,From new raw data; measurement modified from published value
170,1910 A (OAO),2.83E-13,+/-0.84E-13,ergs/cm^2^/s/A,1.57E15,0.0345,0.0102,0.0102,,,+/-1.02E-02,Jy,1979ApJ...228..419W,uncertainty,1910   A,Broad-band measurement,,Flux in fixed aperture,10' aperture,From new raw data; measurement modified from published value
171,NUV (GALEX) AB,11.53,+/-0.01,mag,1.32E15,0.0887,8.17E-4,8.17E-4,,,+/-8.17E-04,Jy,2007ApJS..173..185G,uncertainty,2267 A,Broad-band measurement,13 25 27.6 -43 01 08.8 (J2000),Total flux,,From new raw data
172,NUV (GALEX) AB,12.96,+/-0.030,mag,1.32E15,0.0238,6.57E-4,6.57E-4,,,+/-6.57E-04,Jy,2017MNRAS.464.3920S,uncertainty,2267 A,Broad-band measurement,,Flux in fixed aperture,Mag uncorrected for extinction,From reprocessed raw data
173,NUV (GALEX) AB,10.86,+/-0.03,mag,1.32E15,0.164,0.00454,0.00454,,,+/-4.54E-03,Jy,2017MNRAS.472.3029W,uncertainty,2271 A,Broad-band measurement,,Total flux,,From reprocessed raw data; Extinction-corrected for Milky Way
174,NUV (GALEX),10.47,+/-0.13,mag,1.29E15,0.0512,0.00612,0.00612,,,+/-6.12E-03,Jy,2015ApJS..220....6B,uncertainty,2316 A,Broad-band measurement,13 25 28.128 -43 01 05.23 (J2000),Flux in fixed aperture,Asymptotic magnitude,From reprocessed raw data
175,NUV (GALEX),10.5,+/-0.01,mag,1.29E15,0.0498,4.58E-4,4.58E-4,,,+/-4.58E-04,Jy,2015ApJS..220....6B,uncertainty,2316 A,Broad-band measurement,13 25 28.128 -43 01 05.23 (J2000),Flux in fixed aperture,D25 magnitude,From reprocessed raw data
176,2460 A (OAO),3.72E-13,+/-0.84E-13,ergs/cm^2^/s/A,1.22E15,0.0752,0.017,0.017,,,+/-1.70E-02,Jy,1979ApJ...228..419W,uncertainty,2460   A,Broad-band measurement,,Flux in fixed aperture,10' aperture,From new raw data; measurement modified from published value
177,2980 A (OAO),6.75E-13,+/-0.38E-13,ergs/cm^2^/s/A,1.01E15,0.2,0.0113,0.0113,,,+/-1.13E-02,Jy,1979ApJ...228..419W,uncertainty,2980   A,Broad-band measurement,,Flux in fixed aperture,10' aperture,From new raw data; measurement modified from published value
178,3320 A (OAO),1.13E-12,+/-1.4E-13,ergs/cm^2^/s/A,9.03E14,0.416,0.0515,0.0515,,,+/-5.15E-02,Jy,1979ApJ...228..419W,uncertainty,3320   A,Broad-band measurement,,Flux in fixed aperture,10' aperture,From new raw data; measurement modified from published value
179,4250 A (OAO),2.73E-12,+/-1.7E-13,ergs/cm^2^/s/A,7.05E14,1.65,0.103,0.103,,,+/-1.03E-01,Jy,1979ApJ...228..419W,uncertainty,4250   A,Broad-band measurement,,Flux in fixed aperture,10' aperture,From new raw data; measurement modified from published value
180,B (Cousins) (B_T),7.6,+/-0.09,mag,6.81E14,3.89,0.336,0.336,,,+/-3.36E-01,Jy,1989ESOLV.C...0000L,typical accuracy,4400       A,Broad-band measurement; photometric system transformed,132232 -4245.4 (B1950),Modelled datum,,From new raw data
181,B (B_T^0),7.3,,mag,6.81E14,5.12,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,4400       A,Broad-band measurement,132233.0 -424524 (B1950),Multiple methods,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
182,B (B_T),7.84,+/-0.06,mag,6.81E14,3.11,0.177,0.177,,,+/-1.77E-01,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,132233.0 -424524 (B1950),Flux integrated from map,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
183,B (m_B),7.7,+/-0.21,mag,6.81E14,3.54,0.756,0.756,,,+/-7.56E-01,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,132233.0 -424524 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
184,B (Cousins) (B_25),7.77,+/-0.09,mag,6.81E14,3.33,0.288,0.288,,,+/-2.88E-01,Jy,1989ESOLV.C...0000L,typical accuracy,4400       A,Broad-band measurement; photometric system transformed,132232 -4245.4 (B1950),Modelled datum,,From new raw data
188,V (Johnson),13.47,+/-0.05,mag,5.42E14,0.0149,7.02E-4,7.02E-4,,,+/-7.02E-04,Jy,1971ApJ...170L..15B,no uncertainty reported,5530 A,Broad-band measurement,,Flux in fixed aperture,"20.08"" aperture",Transformed from previously published data; derived from aflux in a different band and a color
189,V (Johnson),14.91,+/-0.05,mag,5.42E14,0.00396,1.86E-4,1.86E-4,,,+/-1.86E-04,Jy,1971ApJ...170L..15B,no uncertainty reported,5530 A,Broad-band measurement,,Flux in fixed aperture,"6.82"" aperture",Transformed from previously published data; derived from aflux in a different band and a color
190,V (Johnson),16.04,+/-0.05,mag,5.42E14,0.0014,6.58E-5,6.58E-5,,,+/-6.58E-05,Jy,1971ApJ...170L..15B,no uncertainty reported,5530 A,Broad-band measurement,,Flux in fixed aperture,"3.66"" aperture",Transformed from previously published data; derived from aflux in a different band and a color
191,V (Johnson),14.44,+/-0.05,mag,5.42E14,0.0061,2.87E-4,2.87E-4,,,+/-2.87E-04,Jy,1971ApJ...170L..15B,no uncertainty reported,5530 A,Broad-band measurement,,Flux in fixed aperture,"9.74"" aperture",Transformed from previously published data; derived from aflux in a different band and a color
192,V (V_T^0),6.42,,mag,5.42E14,9.84,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,5530       A,Broad-band measurement,132233.0 -424524 (B1950),Flux integrated from map,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
193,V (V_T),6.84,+/-0.08,mag,5.42E14,6.68,0.499,0.499,,,+/-4.99E-01,Jy,1991RC3.9.C...0000d,rms uncertainty,5530       A,Broad-band measurement,132233.0 -424524 (B1950),Flux integrated from map,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
195,R (Cousins) (R_T),6.29,+/-0.09,mag,4.68E14,9.39,0.812,0.812,,,+/-8.12E-01,Jy,1989ESOLV.C...0000L,typical accuracy,6400       A,Broad-band measurement; photometric system transformed,132232 -4245.4 (B1950),Modelled datum,,From new raw data
196,R (Cousins) (R_25),6.35,+/-0.09,mag,4.68E14,8.85,0.765,0.765,,,+/-7.65E-01,Jy,1989ESOLV.C...0000L,typical accuracy,6400       A,Broad-band measurement; photometric system transformed,132232 -4245.4 (B1950),Modelled datum,,From new raw data
200,R'_C_,13.43,+/-0.05,mag,4.48E14,0.0118,5.56E-4,5.56E-4,,,+/-5.56E-04,Jy,1971ApJ...170L..15B,no uncertainty reported,6690 A,Broad-band measurement,,Flux in fixed aperture,"6.82"" aperture",Transformed from previously published data; derived from aflux in a different band and a color
201,R'_C_,12.75,+/-0.05,mag,4.48E14,0.0221,0.00104,0.00104,,,+/-1.04E-03,Jy,1971ApJ...170L..15B,no uncertainty reported,6690 A,Broad-band measurement,,Flux in fixed aperture,"9.74"" aperture",From new raw data; derived from a flux in a different bandand a color
202,R'_C_,11.84,+/-0.05,mag,4.48E14,0.0511,0.00241,0.00241,,,+/-2.41E-03,Jy,1971ApJ...170L..15B,no uncertainty reported,6690 A,Broad-band measurement,,Flux in fixed aperture,"20.08"" aperture",From new raw data; derived from a flux in a different bandand a color
203,R'_C_,14.54,+/-0.05,mag,4.48E14,0.00425,2.0E-4,2.0E-4,,,+/-2.00E-04,Jy,1971ApJ...170L..15B,no uncertainty reported,6690 A,Broad-band measurement,,Flux in fixed aperture,"3.66"" aperture",Transformed from previously published data; derived from aflux in a different band and a color
206,I'_C_,12.94,+/-0.05,mag,3.75E14,0.0149,7.04E-4,7.04E-4,,,+/-7.04E-04,Jy,1971ApJ...170L..15B,no uncertainty reported,8000 A,Broad-band measurement,,Flux in fixed aperture,"3.66"" aperture",Transformed from previously published data; derived from aflux in a different band and a color
207,I'_C_,11.78,+/-0.05,mag,3.75E14,0.0435,0.00205,0.00205,,,+/-2.05E-03,Jy,1971ApJ...170L..15B,no uncertainty reported,8000 A,Broad-band measurement,,Flux in fixed aperture,"6.82"" aperture",From new raw data; derived from a flux in a different bandand a color
208,I'_C_,11.31,+/-0.05,mag,3.75E14,0.067,0.00316,0.00316,,,+/-3.16E-03,Jy,1971ApJ...170L..15B,no uncertainty reported,8000 A,Broad-band measurement,,Flux in fixed aperture,"9.74"" aperture",From new raw data; derived from a flux in a different bandand a color
209,I'_C_,10.12,+/-0.05,mag,3.75E14,0.201,0.00945,0.00945,,,+/-9.45E-03,Jy,1971ApJ...170L..15B,no uncertainty reported,8000 A,Broad-band measurement,,Flux in fixed aperture,"20.08"" aperture",From new raw data; derived from a flux in a different bandand a color
210,J (Johnson),9.29,+/-0.03,mag,2.42E14,0.308,0.00864,0.00864,,,+/-8.64E-03,Jy,1977HarvU.T00M....A,uncertainty,1.24    microns,Broad-band measurement,,Flux in fixed aperture,"14.3"" aperture",From new raw data; derived from a flux in a different bandand a color
211,J (Johnson),7.42,+/-0.03,mag,2.42E14,1.73,0.0483,0.0483,,,+/-4.83E-02,Jy,1977HarvU.T00M....A,uncertainty,1.24    microns,Broad-band measurement,,Flux in fixed aperture,"55.8"" aperture",From new raw data; derived from a flux in a different bandand a color
212,J (Johnson),8.29,+/-0.03,mag,2.42E14,0.774,0.0217,0.0217,,,+/-2.17E-02,Jy,1977HarvU.T00M....A,uncertainty,1.24    microns,Broad-band measurement,,Flux in fixed aperture,"28.6"" aperture",From new raw data; derived from a flux in a different bandand a color
213,J_14arcsec (2MASS),9.138,+/-0.015,mag,2.4E14,0.352,0.0049,0.0049,,,+/-4.90E-03,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,132527.76 -430107.4 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture,From new raw data; Corrected for contaminating sources
214,J_tot (2MASS LGA),4.976,+/-0.016,mag,2.4E14,16.3,0.242,0.242,,,+/-2.42E-01,Jy,2003AJ....125..525J,1 sigma uncert.,1.25      microns,Broad-band measurement,132527.76 -430107.4 (J2000),Total flux,,From new raw data
215,J_Kron (2MASS LGA),5.069,+/-0.015,mag,2.4E14,14.9,0.208,0.208,,,+/-2.08E-01,Jy,2003AJ....125..525J,1 sigma uncert.,1.25      microns,Broad-band measurement,132527.76 -430107.4 (J2000),Flux integrated from map,488.8 x  435.0 arcsec integration area.,From new raw data; Corrected for contaminating sources
216,J_20 (2MASS LGA),5.031,+/-0.015,mag,2.4E14,15.5,0.215,0.215,,,+/-2.15E-01,Jy,2003AJ....125..525J,1 sigma uncert.,1.25      microns,Broad-band measurement,132527.76 -430107.4 (J2000),Flux integrated from map,557.4 x  496.1 arcsec integration area.,From new raw data; Corrected for contaminating sources
217,J (CIT),11.15,+/-0.03,mag,2.4E14,0.0527,0.00148,0.00148,,,+/-1.48E-03,Jy,1976ApJ...208..317G,uncertainty,1.25    microns,Broad-band measurement,,Flux in fixed aperture,"5.2"" aperture",From new raw data
218,J (CIT),10.14,+/-0.03,mag,2.4E14,0.134,0.00374,0.00374,,,+/-3.74E-03,Jy,1976ApJ...208..317G,uncertainty,1.25    microns,Broad-band measurement,,Flux in fixed aperture,"12.2"" aperture",From new raw data
219,1.28 microns (UT4),0.0013,+/-0.1E-03,Jy,2.34E14,0.0013,1.0E-4,1.0E-4,,,+/-1.00E-04,Jy,2007A&A...471..453M,uncertainty,1.28       microns,Broad-band measurement,,Flux integrated from map,Core flux; beamwidth=100 mas,From new raw data
220,H_14arcsec (2MASS),7.989,+/-0.015,mag,1.82E14,0.653,0.00908,0.00908,,,+/-9.08E-03,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,132527.76 -430107.4 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture,From new raw data; Corrected for contaminating sources
221,H_tot (2MASS LGA),4.271,+/-0.017,mag,1.82E14,20.0,0.316,0.316,,,+/-3.16E-01,Jy,2003AJ....125..525J,1 sigma uncert.,1.65      microns,Broad-band measurement,132527.76 -430107.4 (J2000),Total flux,,From new raw data
222,H_Kron (2MASS LGA),4.339,+/-0.015,mag,1.82E14,18.8,0.262,0.262,,,+/-2.62E-01,Jy,2003AJ....125..525J,1 sigma uncert.,1.65      microns,Broad-band measurement,132527.76 -430107.4 (J2000),Flux integrated from map,488.8 x  435.0 arcsec integration area.,From new raw data; Corrected for contaminating sources
223,H_20 (2MASS LGA),4.312,+/-0.016,mag,1.82E14,19.3,0.286,0.286,,,+/-2.86E-01,Jy,2003AJ....125..525J,1 sigma uncert.,1.65      microns,Broad-band measurement,132527.76 -430107.4 (J2000),Flux integrated from map,557.4 x  496.1 arcsec integration area.,From new raw data; Corrected for contaminating sources
224,H (CIT),8.8,+/-0.03,mag,1.82E14,0.296,0.00829,0.00829,,,+/-8.29E-03,Jy,1976ApJ...208..317G,uncertainty,1.65    microns,Broad-band measurement,,Flux in fixed aperture,"12.2"" aperture",From new raw data
225,H (CIT),9.63,+/-0.03,mag,1.82E14,0.138,0.00386,0.00386,,,+/-3.86E-03,Jy,1976ApJ...208..317G,uncertainty,1.65    microns,Broad-band measurement,,Flux in fixed aperture,"5.2"" aperture",From new raw data
226,H (Johnson),6.31,+/-0.03,mag,1.82E14,3.22,0.0901,0.0901,,,+/-9.01E-02,Jy,1977HarvU.T00M....A,uncertainty,1.65    microns,Broad-band measurement,,Flux in fixed aperture,"55.8"" aperture",From new raw data; derived from a flux in a different bandand a color
227,H (CIT),7.71,+/-0.2,mag,1.82E14,0.808,0.163,0.163,,,+/-1.63E-01,Jy,1971ApJ...170L..15B,uncertainty,1.65 microns,Broad-band measurement,,Flux in fixed aperture,"15"" aperture",From new raw data
228,H (Johnson),7.14,+/-0.03,mag,1.82E14,1.5,0.042,0.042,,,+/-4.20E-02,Jy,1977HarvU.T00M....A,uncertainty,1.65    microns,Broad-band measurement,,Flux in fixed aperture,"28.6"" aperture",From new raw data; derived from a flux in a different bandand a color
229,H (CIT),6.41,+/-0.1,mag,1.82E14,2.67,0.258,0.258,,,+/-2.58E-01,Jy,1971ApJ...170L..15B,uncertainty,1.65 microns,Broad-band measurement,,Flux in fixed aperture,"49"" aperture",From new raw data
230,H (Johnson),8.06,+/-0.03,mag,1.82E14,0.642,0.018,0.018,,,+/-1.80E-02,Jy,1977HarvU.T00M....A,uncertainty,1.65    microns,Broad-band measurement,,Flux in fixed aperture,"14.3"" aperture",From new raw data; derived from a flux in a different bandand a color
231,H (CIT),5.24,+/-0.2,mag,1.82E14,7.86,1.59,1.59,,,+/-1.59E+00,Jy,1971ApJ...170L..15B,uncertainty,1.65 microns,Broad-band measurement,,Flux in fixed aperture,"106"" aperture",From new raw data
232,H (CIT),6.08,+/-0.1,mag,1.82E14,3.62,0.35,0.35,,,+/-3.50E-01,Jy,1971ApJ...170L..15B,uncertainty,1.65 microns,Broad-band measurement,,Flux in fixed aperture,"67"" aperture",From new raw data
233,H (CIT),6.05,+/-0.2,mag,1.82E14,3.73,0.754,0.754,,,+/-7.54E-01,Jy,1971ApJ...170L..15B,uncertainty,1.65 microns,Broad-band measurement,,Flux in fixed aperture,"58"" aperture",From new raw data
234,H (CIT),8.15,+/-0.1,mag,1.82E14,0.539,0.052,0.052,,,+/-5.20E-02,Jy,1971ApJ...170L..15B,uncertainty,1.65 microns,Broad-band measurement,,Flux in fixed aperture,"18"" aperture",From new raw data
235,H (CIT),7.07,+/-0.1,mag,1.82E14,1.46,0.141,0.141,,,+/-1.41E-01,Jy,1971ApJ...170L..15B,uncertainty,1.65 microns,Broad-band measurement,,Flux in fixed aperture,"33"" aperture",From new raw data
236,H (CIT),6.06,+/-0.2,mag,1.82E14,3.69,0.747,0.747,,,+/-7.47E-01,Jy,1971ApJ...170L..15B,uncertainty,1.65 microns,Broad-band measurement,,Flux in fixed aperture,"58"" aperture",From new raw data
237,H (CIT),7.5,+/-0.1,mag,1.82E14,0.98,0.0946,0.0946,,,+/-9.46E-02,Jy,1971ApJ...170L..15B,uncertainty,1.65 microns,Broad-band measurement,,Flux in fixed aperture,"27"" aperture",From new raw data
238,H (CIT),6.89,+/-0.2,mag,1.82E14,1.72,0.348,0.348,,,+/-3.48E-01,Jy,1971ApJ...170L..15B,uncertainty,1.65 microns,Broad-band measurement,,Flux in fixed aperture,"30"" aperture",From new raw data
239,H (CIT),8.65,+/-0.2,mag,1.82E14,0.34,0.0687,0.0687,,,+/-6.87E-02,Jy,1971ApJ...170L..15B,uncertainty,1.65 microns,Broad-band measurement,,Flux in fixed aperture,"7.5"" aperture",From new raw data
240,1.67 microns (UT4),0.0045,+/-0.3E-03,Jy,1.8E14,0.0045,3.0E-4,3.0E-4,,,+/-3.00E-04,Jy,2007A&A...471..453M,uncertainty,1.67       microns,Broad-band measurement,,Flux integrated from map,Core flux; beamwidth=88 mas,From new raw data
241,2.15 microns (UT4),0.0337,+/-2.0E-03,Jy,1.39E14,0.0337,0.002,0.002,,,+/-2.00E-03,Jy,2007A&A...471..453M,uncertainty,2.15       microns,Broad-band measurement,,Flux integrated from map,Core flux; beamwidth=59 mas,From new raw data
242,K_20 (2MASS LGA),3.989,+/-0.015,mag,1.38E14,16.9,0.235,0.235,,,+/-2.35E-01,Jy,2003AJ....125..525J,1 sigma uncert.,2.17      microns,Broad-band measurement,132527.76 -430107.4 (J2000),Flux integrated from map,557.4 x  496.1 arcsec integration area.,From new raw data; Corrected for contaminating sources
243,K_s_14arcsec (2MASS),7.419,+/-0.015,mag,1.38E14,0.718,0.00999,0.00999,,,+/-9.99E-03,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,132527.76 -430107.4 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture,From new raw data; Corrected for contaminating sources
244,K_tot (2MASS LGA),3.942,+/-0.016,mag,1.38E14,17.7,0.262,0.262,,,+/-2.62E-01,Jy,2003AJ....125..525J,1 sigma uncert.,2.17      microns,Broad-band measurement,132527.76 -430107.4 (J2000),Total flux,,From new raw data
245,K_Kron (2MASS LGA),4.02,+/-0.015,mag,1.38E14,16.4,0.229,0.229,,,+/-2.29E-01,Jy,2003AJ....125..525J,1 sigma uncert.,2.17      microns,Broad-band measurement,132527.76 -430107.4 (J2000),Flux integrated from map,488.8 x  435.0 arcsec integration area.,From new raw data; Corrected for contaminating sources
246,K,8.3,+/-0.1,mag,1.37E14,0.311,0.03,0.03,,,+/-3.00E-02,Jy,1983MNRAS.202..241A,uncertainty,2.19    microns,Broad-band measurement,,Flux in fixed aperture,"7"" aperture",From new raw data
247,K (CIT),5.51,+/-0.1,mag,1.36E14,3.88,0.374,0.374,,,+/-3.74E-01,Jy,1971ApJ...170L..15B,uncertainty,2.2 microns,Broad-band measurement,,Flux in fixed aperture,"67"" aperture",From new raw data
248,K (CIT),7.46,+/-0.1,mag,1.36E14,0.643,0.0621,0.0621,,,+/-6.21E-02,Jy,1971ApJ...170L..15B,uncertainty,2.2 microns,Broad-band measurement,,Flux in fixed aperture,"18"" aperture",From new raw data
249,K (CIT),8.59,+/-0.03,mag,1.36E14,0.227,0.00637,0.00637,,,+/-6.37E-03,Jy,1976ApJ...208..317G,uncertainty,2.2     microns,Broad-band measurement,,Flux in fixed aperture,"5.2"" aperture",From new raw data
250,K (CIT),8.84,+/-0.18,mag,1.36E14,0.181,0.0325,0.0325,,,+/-3.25E-02,Jy,1976ApJ...208..317G,uncertainty,2.2     microns,Broad-band measurement,,Flux in fixed aperture,"3.5"" aperture",From new raw data
251,K (CIT),7.2,+/-0.2,mag,1.36E14,0.817,0.165,0.165,,,+/-1.65E-01,Jy,1971ApJ...170L..15B,uncertainty,2.2 microns,Broad-band measurement,,Flux in fixed aperture,"15"" aperture",From new raw data
252,K (CIT),6.53,+/-0.1,mag,1.36E14,1.52,0.146,0.146,,,+/-1.46E-01,Jy,1971ApJ...170L..15B,uncertainty,2.2 microns,Broad-band measurement,,Flux in fixed aperture,"33"" aperture",From new raw data
253,K (CIT),6.96,+/-0.1,mag,1.36E14,1.02,0.0984,0.0984,,,+/-9.84E-02,Jy,1971ApJ...170L..15B,uncertainty,2.2 microns,Broad-band measurement,,Flux in fixed aperture,"27"" aperture",From new raw data
254,K (CIT),8.06,+/-0.2,mag,1.36E14,0.37,0.0749,0.0749,,,+/-7.49E-02,Jy,1971ApJ...170L..15B,uncertainty,2.2 microns,Broad-band measurement,,Flux in fixed aperture,"7.5"" aperture",From new raw data
255,K (CIT),5.69,+/-0.2,mag,1.36E14,3.28,0.664,0.664,,,+/-6.64E-01,Jy,1971ApJ...170L..15B,uncertainty,2.2 microns,Broad-band measurement,,Flux in fixed aperture,"58"" aperture",From new raw data
256,K (CIT),5.74,+/-0.2,mag,1.36E14,3.14,0.634,0.634,,,+/-6.34E-01,Jy,1971ApJ...170L..15B,uncertainty,2.2 microns,Broad-band measurement,,Flux in fixed aperture,"58"" aperture",From new raw data
257,K (CIT),7.92,+/-0.03,mag,1.36E14,0.421,0.0118,0.0118,,,+/-1.18E-02,Jy,1976ApJ...208..317G,uncertainty,2.2     microns,Broad-band measurement,,Flux in fixed aperture,"12.2"" aperture",From new raw data
258,K (CIT),5.92,+/-0.1,mag,1.36E14,2.66,0.256,0.256,,,+/-2.56E-01,Jy,1971ApJ...170L..15B,uncertainty,2.2 microns,Broad-band measurement,,Flux in fixed aperture,"49"" aperture",From new raw data
259,K (CIT),6.37,+/-0.2,mag,1.36E14,1.75,0.355,0.355,,,+/-3.55E-01,Jy,1971ApJ...170L..15B,uncertainty,2.2 microns,Broad-band measurement,,Flux in fixed aperture,"30"" aperture",From new raw data
