No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
86,20-100 keV (RXTE),6.601E-10,,erg/cm^2^/s,1.45E19,4.55E-6,,,,,,Jy,2011ApJS..193....3R,no uncertainty reported,60.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
87,20-100 keV (Suzaku),1.1E-9,,erg/cm^2^/s,1.45E19,0.00759,,,,,,Jy,2011ApJ...743..124F,no uncertainty reported,60.00 keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
88,56.5 keV (OSSE),13.8122,+/-0.0144,log (Jy Hz),1.37E19,4.75E-6,1.55E-7,1.55E-7,,,+/-1.55E-07,Jy,1998A&A...330...97S,uncertainty,19.1353    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
89,55.3 keV (OSSE),13.568,+/-0.0467,log (Jy Hz),1.34E19,2.77E-6,2.82E-7,2.82E-7,,,+/-2.82E-07,Jy,1999AdSpR..23..911S,uncertainty,19.1261    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
90,50.8 keV (OSSE),13.8326,+/-0.0130,log (Jy Hz),1.23E19,5.54E-6,1.64E-7,1.64E-7,,,+/-1.64E-07,Jy,1998A&A...330...97S,uncertainty,19.0887    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
91,49.8 keV (OSSE),13.5949,+/-0.0429,log (Jy Hz),1.2E19,3.27E-6,3.08E-7,3.08E-7,,,+/-3.08E-07,Jy,1999AdSpR..23..911S,uncertainty,19.0800    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
92,BATSE 49.3 keV,13.6509,+/-0.1292,log (Jy Hz),1.19E19,3.76E-6,9.67E-7,9.67E-7,,,+/-9.67E-07,Jy,2001PrivC.U..H....S,uncertainty,19.0759    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
93,12-76 keV (Suzaku),7.3E-10,,ergs/cm^2^/s,1.06E19,6.89E-6,,,,,,Jy,2007ApJ...665..209M,no uncertainty reported,44     keV,Broad-band measurement,,From fitting to map,Nuclear flux,From new raw data; NED frequency assigned to mid-point ofband in keV
94,17-60 keV (INTEGRAL),5.609E-10,+/-0.32E-11,erg s^-1^ cm^-2^,9.31E18,6.02E-6,3.44E-8,3.44E-8,,,+/-3.44E-08,Jy,2007A&A...462...57S,uncertainty,38.50   keV,Broad-band measurement,,Flux integrated from map,,Averaged new and previously published data; NED frequencyassigned to mid-point of band in keV
95,BATSE 37.2 keV,13.4702,+/-0.2627,log (Jy Hz),8.99E18,3.28E-6,1.49E-6,1.49E-6,,,+/-1.49E-06,Jy,2001PrivC.U..H....S,uncertainty,18.9538    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
96,15-55 keV (Swift),4.977E-10,+/-0.27E-11,erg/cm^2^/s,8.46E18,5.88E-6,3.19E-8,3.19E-8,,,+/-3.19E-08,Jy,2009ApJ...699..603A,uncertainty,35.00 keV,Broad-band measurement,201.366 -43.017 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
97,20-50 keV (Swift),4.813E-10,,erg/cm^2^/s,8.46E18,5.69E-6,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,35.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
98,20-40 keV (INTEGRAL),3.76E-10,+/-3.03E-12,erg cm^-2^ s^-1^,7.25E18,5.19E-6,4.18E-8,4.18E-8,,,+/-4.18E-08,Jy,2006ApJ...636..765B,uncertainty,30   keV,Broad-band measurement,201.364 -43.021 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
99,20-40 keV (INTEGRAL),3.228E-10,+/-0.17E-11,erg cm^-2^ s^-1^,7.25E18,4.45E-6,2.34E-8,2.34E-8,,,+/-2.34E-08,Jy,2006ApJ...638..642B,uncertainty,30   keV,Broad-band measurement,13 25 28 -43 01 09 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
100,20-40 keV (INTEGRAL),38.1,+/-0.2,milliCrab,7.25E18,3.98E-6,2.09E-8,2.09E-8,,,+/-2.09E-08,Jy,2007ApJS..170..175B,uncertainty,30   keV,Broad-band measurement,201.365 -43.020 (J2000),Flux integrated from map,Time-averaged flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
101,20-40 keV (INTEGRAL),2.811E-10,,erg/cm^2^/s,7.25E18,3.88E-6,,,,,,Jy,2009A&A...505..417B,no uncertainty reported,30.00 keV,Broad-band measurement,201.36510 -43.01911 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
102,20-40 keV (INTEGRAL),2.3707E-10,+/-0.241E-11,erg/s/cm^2^,7.25E18,3.27E-6,3.32E-8,3.32E-8,,,+/-3.32E-08,Jy,2010A&A...522A..68T,2 sigma,30.00 keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
103,10-50 keV (Suzaku),2.78,,log(erg/s/cm^2^),7.25E18,8.31E-6,,,,,,Jy,2011ApJ...727...19F,no uncertainty reported,30.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
104,BATSE 26.6 keV,13.7404,+/-0.1471,log (Jy Hz),6.42E18,8.57E-6,2.46E-6,2.46E-6,,,+/-2.46E-06,Jy,2001PrivC.U..H....S,uncertainty,18.8072    log nu(Hz),Broad-band measurement,,Flux integrated from map,,From new raw data
105,10-20 keV (MAXI),3.0394E-10,+/-4.14E-12,erg/cm^2^/s,3.63E18,8.37E-6,1.14E-7,1.14E-7,,,+/-1.14E-07,Jy,2018ApJS..238...32K,1 sigma,15.00 keV,Broad-band measurement,201.366 -43.012 (J2000),From fitting to map,Detection sig. = 73.60; 7yr avg flux,From new raw data; NED frequency assigned to mid-point ofband in keV
106,4-10 keV (MAXI),2.5469E-10,+/-1.31E-12,erg/cm^2^/s,1.69E18,1.51E-5,7.75E-8,7.75E-8,,,+/-7.75E-08,Jy,2018ApJS..238...32K,1 sigma,7.00 keV,Broad-band measurement,201.366 -43.012 (J2000),From fitting to map,Detection sig. = 194.4; 7yr avg flux,From new raw data; NED frequency assigned to mid-point ofband in keV
107,3-10 keV (INTEGRAL),3.0E-10,,erg cm^-2^ s^-1^,1.57E18,1.91E-5,,,,,,Jy,2005A&A...444..431S,no uncertainty reported,6.5   keV,Broad-band measurement,201.4 -43.0 (2000 ),Flux integrated from map,From JEM-X data,From new raw data; NED frequency assigned to mid-point ofband in keV
108,3-10 keV (INTEGRAL),1.4E-10,,erg cm^-2^ s^-1^,1.57E18,8.92E-6,,,,,,Jy,2005A&A...444..431S,no uncertainty reported,6.5   keV,Broad-band measurement,201.4 -43.0 (2000 ),Flux integrated from map,From JEM-X data,From new raw data; NED frequency assigned to mid-point ofband in keV
109,3-10 keV (MAXI),2.8521E-10,+/-1.37E-12,erg/cm^2^/s,1.57E18,1.82E-5,8.73E-8,8.73E-8,,,+/-8.73E-08,Jy,2018ApJS..238...32K,1 sigma,6.50 keV,Broad-band measurement,201.366 -43.012 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
110,2-10 keV (INTEGRAL),2.958E-10,+/-0.02E-11,erg cm^-2^ s^-1^,1.45E18,2.04E-5,1.38E-8,1.38E-8,,,+/-1.38E-08,Jy,2006ApJ...638..642B,uncertainty,6   keV,Broad-band measurement,13 25 28 -43 01 09 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
111,2-10 keV (Suzaku),2.12E-10,,ergs/cm^2^/s,1.45E18,1.46E-5,,,,,,Jy,2007ApJ...665..209M,no uncertainty reported,6      keV,Broad-band measurement,,From fitting to map,Absorbed nuclear flux,From new raw data; NED frequency assigned to mid-point ofband in keV
112,2-10 keV (BeppoSAX),2.05E-10,+/-0.70E-11,erg/cm^2^/s,1.45E18,1.41E-5,4.83E-7,4.83E-7,,,+/-4.83E-07,Jy,2007A&A...472..705V,uncertainty,6.00 keV,Broad-band measurement,13 25 29.4 -43 02 03.1 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
113,2-10 keV (Swift),1.99E-10,,erg/cm^2^/s,1.45E18,1.37E-5,,,,,,Jy,2009ApJ...698.1207C,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
114,2-10 keV (Swift),4.94E-10,+/-0.05E-10,erg/cm^2^/s,1.45E18,3.41E-5,3.45E-7,3.45E-7,,,+/-3.45E-07,Jy,2010ApJ...719.1433A,uncertainty,6.00  keV,Broad-band measurement,,Modelled datum,Absorbed flux,From new raw data; NED frequency assigned to mid-point ofband in keV
115,2-10 keV (Swift),9.15E-10,,erg/cm^2^/s,1.45E18,6.31E-5,,,,,,Jy,2010ApJ...719.1433A,no uncertainty reported,6.00  keV,Broad-band measurement,,Modelled datum,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
116,2-10 keV (RXTE),2.842E-10,,erg/cm^2^/s,1.45E18,1.96E-5,,,,,,Jy,2011ApJS..193....3R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
117,2-10 keV (Chandra),3.108E-10,,erg/cm^2^/s,1.45E18,2.14E-5,,,,,,Jy,2011ApJ...738..147S,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
118,2-10 keV (Swift),1.849E-10,,erg/cm^2^/s,1.45E18,1.28E-5,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
119,2-10 keV (Swift),3.473E-10,,erg/cm^2^/s,1.45E18,2.4E-5,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
120,4-7 keV (Suzaku),1.5E-10,,ergs/cm^2^/s,1.33E18,1.13E-5,,,,,,Jy,2007ApJ...665..209M,no uncertainty reported,5.5     keV,Broad-band measurement,,From fitting to map,Unabsorbed nuclear flux,From new raw data; NED frequency assigned to mid-point ofband in keV
