# %ECSV 1.0
# ---
# datatype:
# - {name: energy, unit: TeV, datatype: float64, format: 5g, description: Reconstructed Energy}
# - {name: e_ref, unit: TeV, datatype: float64, format: 5g, description: Energy center}
# - {name: e_min, unit: TeV, datatype: float64, format: 5g, description: Energy edge low}
# - {name: e_max, unit: TeV, datatype: float64, format: 5g, description: Energy edge high}
# - {name: e2dnde, unit: erg / (s cm2), datatype: float64, format: 5g, description: Energy squared times differential flux}
# - {name: excess, datatype: float64, format: 5g, description: Number of excess counts in the bin}
# - {name: background, datatype: float64, format: 5g, description: Number of background counts in the bin}
# - {name: criterion, datatype: string, description: Sensitivity-limiting criterion}
# - {name: on_radii, unit: deg, datatype: float64, format: .3e}
# meta: !!omap
# - {source: Cen A}
# - {offset: 0.5 deg}
# - {on_region_radius: 0.11deg}
# - {livetime: 200.0 h}
# - {site: North-MSTSubArray}
# - {'azimuth-averaged ': AverageAz}
# - {zenith-angle: 40.0 deg}
# - {obs_time: 50.0 h}
# - {irfs_label: North-MSTSubArray (40deg-50h)}
# - irfs_config: [North-MSTSubArray, AverageAz, 40deg, 50h]
# - {int_sens: 3.1255250748619876e-12 1 / (s cm2)}
# schema: astropy-2.0
energy e_ref e_min e_max e2dnde excess background criterion on_radii
0.10975028199737244 0.10975028199737244 0.10000000000000002 0.12045124398502766 2.979663233475031e-12 926.5335036029612 9265.335036029612 bkg 0.15875000000000003
0.1321955799429109 0.1321955799429109 0.12045124398502766 0.14508502177540658 1.8187351027272001e-12 772.1130145725901 7721.130145725901 bkg 0.15175
0.15923122053445785 0.15923122053445785 0.14508502177540658 0.17475671356442543 1.2197284410888743e-12 607.5056746507879 6075.056746507878 bkg 0.14475000000000002
0.19179598594629724 0.19179598594629724 0.17475671356442543 0.21049663543570193 9.214555337471909e-13 410.6590220425621 4106.590220425621 bkg 0.13475
0.2310206509856638 0.2310206509856638 0.21049663543570193 0.2535458159289315 5.684635430028002e-13 265.92638143589437 2602.4864068852416 significance 0.12475
0.27826724797454105 0.27826724797454105 0.2535458159289315 0.3053990893583862 4.651927999660251e-13 208.74203012654814 1588.4087498249507 significance 0.11575
0.33517636178823623 0.33517636178823623 0.3053990893583862 0.3678570022511224 4.022705382814947e-13 161.05484834321302 933.2618401427421 significance 0.10775000000000001
0.4037240973176873 0.4037240973176873 0.3678570022511224 0.443088335297508 3.60642803052203e-13 125.82853540100206 560.5708256823337 significance 0.09975
0.48629069748647796 0.48629069748647796 0.443088335297508 0.5337054118183987 2.9657893094126455e-13 104.01112545953863 377.1534788156316 significance 0.09475
0.5857431945059303 0.5857431945059303 0.5337054118183987 0.6428548077506759 2.660699324161297e-13 87.30227669806756 261.20408963919334 significance 0.09025
0.705534964340033 0.705534964340033 0.6428548077506759 0.774326612953247 2.449057454669076e-13 71.91735696655236 173.2487812573722 significance 0.08574999999999999
0.8498256412968906 0.8498256412968906 0.774326612953247 0.9326860378093157 2.0654060538178688e-13 58.86605570215008 112.76899782670574 significance 0.08225
1.0236255566458432 1.0236255566458432 0.9326860378093157 1.1234319350159858 1.9051380970589137e-13 48.83873274426402 75.113904147264 significance 0.07925000000000001
1.2329697167285818 1.2329697167285818 1.1234319350159858 1.3531877410518223 1.7674625935301574e-13 41.51707054876787 52.454269328935645 significance 0.07725000000000001
1.4851273617582483 1.4851273617582483 1.3531877410518223 1.6299314675498144 1.5498085780993877e-13 35.527367960309725 36.95030004149422 significance 0.07525000000000001
1.7888543819998315 1.7888543819998315 1.6299314675498144 1.9632727287671683 1.464542741264833e-13 30.356500436056855 25.759881711483914 significance 0.07275000000000001
2.1546973561994753 2.1546973561994753 1.9632727287671683 2.3647864246188517 1.4985619109047098e-13 26.052550657598932 17.994321904702467 significance 0.07025
2.59535976965477 2.59535976965477 2.3647864246188517 2.8484146660424647 1.4372158235987928e-13 21.958666018081097 11.911345127638409 significance 0.06775
3.126143128436118 3.126143128436118 2.8484146660424647 3.430950899100119 1.4153268657451188e-13 18.226050923946072 7.4699185017921215 significance 0.06625
3.7654782869537646 3.7654782869537646 3.430950899100119 4.132623038481584 1.3122015741873266e-13 15.269069578712841 4.696279574690305 significance 0.06475
4.535565438621917 4.535565438621917 4.132623038481584 4.977795859062913 1.242633729290426e-13 13.68352285000489 3.478707244126438 significance 0.06325
5.4631449925750735 5.4631449925750735 4.977795859062913 5.995817035276474 1.4478817914758708e-13 12.99605703552474 3.00896570059014 significance 0.06225
6.580426104262422 6.580426104262422 5.995817035276474 7.222036206056712 1.317736896386652e-13 12.129267326718223 2.4666119589476523 significance 0.06125
7.9262051020995745 7.9262051020995745 7.222036206056712 8.6990324512444 1.4591319446235584e-13 10.937424886326264 1.811287913894164 significance 0.05925
9.547212646283667 9.547212646283667 8.6990324512444 10.478092802185127 1.6156429662107653e-13 10.0 1.3573338950647622 gamma 0.05775
11.499736398344554 11.499736398344554 10.478092802185127 12.62099312613762 1.771538863038444e-13 10.0 1.1338754029266698 gamma 0.05625000000000001
13.851575546805027 13.851575546805027 12.62099312613762 15.202143223697599 1.976761600511261e-13 10.0 1.0293531067691013 gamma 0.05475000000000001
16.684395057652548 16.684395057652548 15.202143223697599 18.311170625329332 2.363292796521398e-13 10.0 0.9020833739558176 gamma 0.053250000000000006
20.096561398318965 20.096561398318965 18.311170625329332 22.056032806430153 2.501457590764893e-13 10.0 0.7550832023309086 gamma 0.051750000000000004
24.206558202490054 24.206558202490054 22.056032806430153 26.56676588909091 3.262668978104111e-13 10.0 0.6368451732896985 gamma 0.05025
