# %ECSV 1.0
# ---
# datatype:
# - {name: energy, unit: TeV, datatype: float64, format: 5g, description: Reconstructed Energy}
# - {name: e_ref, unit: TeV, datatype: float64, format: 5g, description: Energy center}
# - {name: e_min, unit: TeV, datatype: float64, format: 5g, description: Energy edge low}
# - {name: e_max, unit: TeV, datatype: float64, format: 5g, description: Energy edge high}
# - {name: e2dnde, unit: erg / (s cm2), datatype: float64, format: 5g, description: Energy squared times differential flux}
# - {name: excess, datatype: float64, format: 5g, description: Number of excess counts in the bin}
# - {name: background, datatype: float64, format: 5g, description: Number of background counts in the bin}
# - {name: criterion, datatype: string, description: Sensitivity-limiting criterion}
# - {name: on_radii, unit: deg, datatype: float64, format: .3e}
# meta: !!omap
# - {source: Cen A}
# - {offset: 0.5 deg}
# - {on_region_radius: 0.11deg}
# - {livetime: 200.0 h}
# - {site: North-LSTSubArray}
# - {'azimuth-averaged ': AverageAz}
# - {zenith-angle: 20.0 deg}
# - {obs_time: 50.0 h}
# - {irfs_label: North-LSTSubArray (20deg-50h)}
# - irfs_config: [North-LSTSubArray, AverageAz, 20deg, 50h]
# - {int_sens: 2.8209379276987142e-12 1 / (s cm2)}
# schema: astropy-2.0
energy e_ref e_min e_max e2dnde excess background criterion on_radii
0.10975028199737244 0.10975028199737244 0.10000000000000002 0.12045124398502766 1.5806760422178612e-12 680.0206434468284 6800.206434468284 bkg 0.14025000000000004
0.1321955799429109 0.1321955799429109 0.12045124398502766 0.14508502177540658 1.087336233448196e-12 417.9573542010264 4179.573542010264 bkg 0.13175000000000003
0.15923122053445785 0.15923122053445785 0.14508502177540658 0.17475671356442543 7.342439802593166e-13 265.02453300837215 2584.5598606243657 significance 0.12325000000000001
0.19179598594629724 0.19179598594629724 0.17475671356442543 0.21049663543570193 6.439870584697122e-13 213.21209237744733 1658.701991268979 significance 0.11575
0.2310206509856638 0.2310206509856638 0.21049663543570193 0.2535458159289315 5.718183658496294e-13 172.0575501480953 1069.0456532449662 significance 0.10825000000000001
0.27826724797454105 0.27826724797454105 0.2535458159289315 0.3053990893583862 4.739643904529157e-13 135.84099942678696 656.8848837124964 significance 0.10075
0.33517636178823623 0.33517636178823623 0.3053990893583862 0.3678570022511224 3.9107149615732204e-13 105.90438186375583 391.63304928545074 significance 0.09425
0.4037240973176873 0.4037240973176873 0.3678570022511224 0.443088335297508 4.0804741478921304e-13 83.01869331839647 234.90372939677337 significance 0.08725000000000001
0.48629069748647796 0.48629069748647796 0.443088335297508 0.5337054118183987 3.3728349734019504e-13 67.60118436793398 151.81185952800556 significance 0.08175000000000002
0.5857431945059303 0.5857431945059303 0.5337054118183987 0.6428548077506759 3.0267734902439864e-13 55.33819297490122 98.64804917371936 significance 0.07625000000000001
0.705534964340033 0.705534964340033 0.6428548077506759 0.774326612953247 2.921006226823429e-13 43.96534219273943 59.577324722956476 significance 0.07125000000000001
0.8498256412968906 0.8498256412968906 0.774326612953247 0.9326860378093157 2.453986282144907e-13 34.241676744150446 33.978065186574696 significance 0.06725
1.0236255566458432 1.0236255566458432 0.9326860378093157 1.1234319350159858 2.1866749701873453e-13 26.8342079777776 19.30018379892823 significance 0.06275
1.2329697167285818 1.2329697167285818 1.1234319350159858 1.3531877410518223 2.262110755166707e-13 21.577851219787895 11.410008697841546 significance 0.058750000000000004
1.4851273617582483 1.4851273617582483 1.3531877410518223 1.6299314675498144 2.0504769742512974e-13 17.527171840493708 6.7550940737107386 significance 0.05475000000000001
1.7888543819998315 1.7888543819998315 1.6299314675498144 1.9632727287671683 1.9027220228303938e-13 14.562172519357654 4.130267854323023 significance 0.052250000000000005
2.1546973561994753 2.1546973561994753 1.9632727287671683 2.3647864246188517 1.9278615639506317e-13 12.314924551418082 2.5781043676532556 significance 0.05075000000000001
2.59535976965477 2.59535976965477 2.3647864246188517 2.8484146660424647 1.9045208867176581e-13 10.703662938101836 1.69496830724325 significance 0.04875
3.126143128436118 3.126143128436118 2.8484146660424647 3.430950899100119 2.2204803215256474e-13 10.0 1.2779198119059751 gamma 0.04725
3.7654782869537646 3.7654782869537646 3.430950899100119 4.132623038481584 2.822798074651444e-13 10.0 1.0247670461826315 gamma 0.04575
4.535565438621917 4.535565438621917 4.132623038481584 4.977795859062913 3.048075641808673e-13 10.0 0.8481842377173289 gamma 0.042249999999999996
5.4631449925750735 5.4631449925750735 4.977795859062913 5.995817035276474 4.0268467125621753e-13 10.0 0.7466030483596432 gamma 0.038250000000000006
6.580426104262422 6.580426104262422 5.995817035276474 7.222036206056712 5.581325726992148e-13 10.0 0.6058925365446932 gamma 0.03475
7.9262051020995745 7.9262051020995745 7.222036206056712 8.6990324512444 6.174144185051361e-13 10.0 0.48305610573517677 gamma 0.03325
9.547212646283667 9.547212646283667 8.6990324512444 10.478092802185127 6.32002652946521e-13 10.0 0.37947279601263806 gamma 0.03225
11.499736398344554 11.499736398344554 10.478092802185127 12.62099312613762 1.0840509874566814e-12 10.0 0.26135258430631314 gamma 0.02975
13.851575546805027 13.851575546805027 12.62099312613762 15.202143223697599 1.4293549623912894e-12 10.0 0.1731356306623834 gamma 0.027250000000000003
16.684395057652548 16.684395057652548 15.202143223697599 18.311170625329332 1.5139458419334072e-12 10.0 0.1303144255637586 gamma 0.02525
20.096561398318965 20.096561398318965 18.311170625329332 22.056032806430153 1.8577095676818813e-12 10.0 0.12625936199475177 gamma 0.02475
24.206558202490054 24.206558202490054 22.056032806430153 26.56676588909091 2.7649823953307678e-12 10.0 0.11651930836902691 gamma 0.02425
