# %ECSV 1.0
# ---
# datatype:
# - {name: energy, unit: TeV, datatype: float64, format: 5g, description: Reconstructed Energy}
# - {name: e_ref, unit: TeV, datatype: float64, format: 5g, description: Energy center}
# - {name: e_min, unit: TeV, datatype: float64, format: 5g, description: Energy edge low}
# - {name: e_max, unit: TeV, datatype: float64, format: 5g, description: Energy edge high}
# - {name: e2dnde, unit: erg / (s cm2), datatype: float64, format: 5g, description: Energy squared times differential flux}
# - {name: excess, datatype: float64, format: 5g, description: Number of excess counts in the bin}
# - {name: background, datatype: float64, format: 5g, description: Number of background counts in the bin}
# - {name: criterion, datatype: string, description: Sensitivity-limiting criterion}
# - {name: on_radii, unit: deg, datatype: float64, format: .3e}
# meta: !!omap
# - {source: Fornax A}
# - {offset: 0.5 deg}
# - {on_region_radius: 0.11deg}
# - {livetime: 200.0 h}
# - {site: North-LSTSubArray}
# - {'azimuth-averaged ': AverageAz}
# - {zenith-angle: 40.0 deg}
# - {obs_time: 50.0 h}
# - {irfs_label: North-LSTSubArray (40deg-50h)}
# - irfs_config: [North-LSTSubArray, AverageAz, 40deg, 50h]
# - {int_sens: 3.024938194334023e-12 1 / (s cm2)}
# schema: astropy-2.0
energy e_ref e_min e_max e2dnde excess background criterion on_radii
0.10975028199737244 0.10975028199737244 0.10000000000000002 0.12045124398502766 1.6466518706045875e-12 866.4569651487642 8664.569651487642 bkg 0.13825000000000004
0.1321955799429109 0.1321955799429109 0.12045124398502766 0.14508502177540658 1.2295440945989337e-12 603.9808598622565 6039.808598622564 bkg 0.13225000000000003
0.15923122053445785 0.15923122053445785 0.14508502177540658 0.17475671356442543 9.086484134617737e-13 417.6117787262769 4176.117787262769 bkg 0.12625000000000003
0.19179598594629724 0.19179598594629724 0.17475671356442543 0.21049663543570193 6.599849243981195e-13 285.1577207394744 2851.577207394744 bkg 0.12025
0.2310206509856638 0.2310206509856638 0.21049663543570193 0.2535458159289315 5.356959347841936e-13 229.4966016493729 1927.6566151692914 significance 0.11425
0.27826724797454105 0.27826724797454105 0.2535458159289315 0.3053990893583862 4.693712078536206e-13 188.65276083429325 1291.293323182589 significance 0.10925000000000001
0.33517636178823623 0.33517636178823623 0.3053990893583862 0.3678570022511224 4.120370928175694e-13 153.183627017291 841.7827838718536 significance 0.10425000000000001
0.4037240973176873 0.4037240973176873 0.3678570022511224 0.443088335297508 4.1998695139419936e-13 125.1624166200949 554.4341168919883 significance 0.09975
0.48629069748647796 0.48629069748647796 0.443088335297508 0.5337054118183987 3.422185517185582e-13 102.65939771119297 366.98258611400223 significance 0.09525
0.5857431945059303 0.5857431945059303 0.5337054118183987 0.6428548077506759 3.1428272537771756e-13 84.52628490292717 244.00064252372877 significance 0.09125
0.705534964340033 0.705534964340033 0.6428548077506759 0.774326612953247 2.94001599902105e-13 67.6777035590249 152.17954887642614 significance 0.08725000000000001
0.8498256412968906 0.8498256412968906 0.774326612953247 0.9326860378093157 2.519866416902567e-13 52.76445856593713 88.94407698510179 significance 0.08324999999999999
1.0236255566458432 1.0236255566458432 0.9326860378093157 1.1234319350159858 2.2691886524229546e-13 42.31304928803317 54.72006629086858 significance 0.07975
1.2329697167285818 1.2329697167285818 1.1234319350159858 1.3531877410518223 2.154849603773322e-13 35.19634301312931 36.17302975962588 significance 0.07625000000000001
1.4851273617582483 1.4851273617582483 1.3531877410518223 1.6299314675498144 2.0214227688230488e-13 29.62102132303494 24.333244484349215 significance 0.07275000000000001
1.7888543819998315 1.7888543819998315 1.6299314675498144 1.9632727287671683 1.9646223257319197e-13 24.31835350695607 15.26252949978794 significance 0.06875
2.1546973561994753 2.1546973561994753 1.9632727287671683 2.3647864246188517 1.899567811545272e-13 19.792065227552268 9.205259675327154 significance 0.06525
2.59535976965477 2.59535976965477 2.3647864246188517 2.8484146660424647 1.823578853985669e-13 16.480629864683326 5.7533471814802715 significance 0.06175
3.126143128436118 3.126143128436118 2.8484146660424647 3.430950899100119 1.8511256323439673e-13 14.240650051278564 3.88516925472319 significance 0.058750000000000004
3.7654782869537646 3.7654782869537646 3.430950899100119 4.132623038481584 1.990695599433847e-13 12.519408529663696 2.703848733997993 significance 0.05575000000000001
4.535565438621917 4.535565438621917 4.132623038481584 4.977795859062913 2.2228630018541055e-13 11.374818912257517 2.039670300664927 significance 0.053250000000000006
5.4631449925750735 5.4631449925750735 4.977795859062913 5.995817035276474 2.5759067505691653e-13 10.617650625369013 1.6531722760252938 significance 0.051250000000000004
6.580426104262422 6.580426104262422 5.995817035276474 7.222036206056712 2.521619685785503e-13 10.0 1.3336549237273736 gamma 0.04875
7.9262051020995745 7.9262051020995745 7.222036206056712 8.6990324512444 3.4056375518460587e-13 10.0 1.0521058641637808 gamma 0.04525
9.547212646283667 9.547212646283667 8.6990324512444 10.478092802185127 4.2068379298082805e-13 10.0 0.8273350899635086 gamma 0.042249999999999996
11.499736398344554 11.499736398344554 10.478092802185127 12.62099312613762 5.288812518060194e-13 10.0 0.6197144118330672 gamma 0.040249999999999994
13.851575546805027 13.851575546805027 12.62099312613762 15.202143223697599 6.607654310638544e-13 10.0 0.4534598169076356 gamma 0.03925000000000001
16.684395057652548 16.684395057652548 15.202143223697599 18.311170625329332 7.768229616538935e-13 10.0 0.3301230087967848 gamma 0.038250000000000006
20.096561398318965 20.096561398318965 18.311170625329332 22.056032806430153 1.0261904421904058e-12 10.0 0.24520364363835354 gamma 0.037750000000000006
24.206558202490054 24.206558202490054 22.056032806430153 26.56676588909091 1.1090309970737706e-12 10.0 0.18990751797953703 gamma 0.037250000000000005
