No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
315,3.6 microns (IRAC),75.81,+/-0.09,milliJy,8.44E13,0.0758,9.0E-5,9.0E-5,,,+/-9.00E-05,Jy,2010MNRAS.408.1982L,1 sigma,3.550 microns,Broad-band measurement,03 19 48.1 +41 30 42 (J2000),Flux in fixed aperture,"12"" radius aperture",From new raw data
316,3.6 microns,0.159,+/-10  %,Jy,8.33E13,0.159,0.0159,0.0159,,,+/-1.59E-02,Jy,1978ApJ...226..550R,uncertainty,3.6     microns,Broad-band measurement,,Flux in fixed aperture,"8.5"" aperture",From new raw data
318,4.5 microns IRAC AB,11.25,+/-0.10,mag,6.68E13,0.115,0.0106,0.0106,,,+/-1.06E-02,Jy,2014ApJS..212...18B,uncertainty,44870   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data; Extinction-corrected for Milky Way
319,4.5 microns IRAC AB,11.28,+/-0.10,mag,6.68E13,0.112,0.0103,0.0103,,,+/-1.03E-02,Jy,2014ApJS..212...18B,uncertainty,44870   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data
320,4.5 microns (IRAC),49193.0,+/-1.2942E+01,microJy,6.67E13,0.0492,1.29E-5,1.29E-5,,,+/-1.29E-05,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
321,4.5 microns (IRAC),59659.0,+/-1.2737E+01,microJy,6.67E13,0.0597,1.27E-5,1.27E-5,,,+/-1.27E-05,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
322,4.5 microns (IRAC),89.12,+/-0.06,milliJy,6.67E13,0.0891,6.0E-5,6.0E-5,,,+/-6.00E-05,Jy,2010MNRAS.408.1982L,1 sigma,4.493 microns,Broad-band measurement,03 19 48.1 +41 30 42 (J2000),Flux in fixed aperture,"12"" radius aperture",From new raw data
323,W2 (WISE),8.113,+/-0.019,mag,6.52E13,0.0977,0.00171,0.00171,,,+/-1.71E-03,Jy,2014MNRAS.438.1149G,rms uncertainty,4.6 microns,Broad-band measurement,,Flux in fixed aperture,,From reprocessed raw data
324,W2 (WISE),8.066,+/-0.019,mag,6.51E13,0.102,0.00178,0.00178,,,+/-1.78E-03,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
325,W2 (WISE),8.101,+/-0.006,mag,6.51E13,0.0988,5.46E-4,5.46E-4,,,+/-5.46E-04,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected;extended",From new raw data
326,W2 (WISE),7.9,+/-0.006,mag,6.51E13,0.119,6.57E-4,6.57E-4,,,+/-6.57E-04,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data
