# %ECSV 1.0
# ---
# datatype:
# - {name: energy, unit: TeV, datatype: float64, format: 5g, description: Reconstructed Energy}
# - {name: e_ref, unit: TeV, datatype: float64, format: 5g, description: Energy center}
# - {name: e_min, unit: TeV, datatype: float64, format: 5g, description: Energy edge low}
# - {name: e_max, unit: TeV, datatype: float64, format: 5g, description: Energy edge high}
# - {name: e2dnde, unit: erg / (s cm2), datatype: float64, format: 5g, description: Energy squared times differential flux}
# - {name: excess, datatype: float64, format: 5g, description: Number of excess counts in the bin}
# - {name: background, datatype: float64, format: 5g, description: Number of background counts in the bin}
# - {name: criterion, datatype: string, description: Sensitivity-limiting criterion}
# - {name: on_radii, unit: deg, datatype: float64, format: .3e}
# meta: !!omap
# - {source: NGC 1275}
# - {offset: 0.5 deg}
# - {on_region_radius: 0.11deg}
# - {livetime: 50.0 h}
# - {site: North}
# - {'azimuth-averaged ': AverageAz}
# - {zenith-angle: 40.0 deg}
# - {obs_time: 50.0 h}
# - {irfs_label: North (40deg-50h)}
# - irfs_config: [North, AverageAz, 40deg, 50h]
# - {int_sens: 2.0383010484541248e-12 1 / (s cm2)}
# schema: astropy-2.0
energy e_ref e_min e_max e2dnde excess background criterion on_radii
0.10975028199737244 0.10975028199737244 0.10000000000000002 0.12045124398502766 1.4874344539709783e-12 252.16586065917514 2335.7014325739956 significance 0.12975
0.1321955799429109 0.1321955799429109 0.12045124398502766 0.14508502177540658 1.20060395872128e-12 208.5810453449868 1585.9056103924881 significance 0.12225
0.15923122053445785 0.15923122053445785 0.14508502177540658 0.17475671356442543 1.0411470453662899e-12 172.07615809422597 1069.28310554696 significance 0.11524999999999999
0.19179598594629724 0.19179598594629724 0.17475671356442543 0.21049663543570193 9.344024447359425e-13 140.4766616485575 704.0639360863821 significance 0.10825000000000001
0.2310206509856638 0.2310206509856638 0.21049663543570193 0.2535458159289315 7.979606209156226e-13 113.85797315673538 455.44515871160775 significance 0.10125
0.27826724797454105 0.27826724797454105 0.2535458159289315 0.3053990893583862 6.782347796916732e-13 92.34050294665435 293.926678025245 significance 0.09575
0.33517636178823623 0.33517636178823623 0.3053990893583862 0.3678570022511224 6.026000713162041e-13 74.68850414498728 187.76007626481282 significance 0.09125
0.4037240973176873 0.4037240973176873 0.3678570022511224 0.443088335297508 5.667610546227476e-13 60.84104601391885 121.08808694865104 significance 0.08675000000000001
0.48629069748647796 0.48629069748647796 0.443088335297508 0.5337054118183987 4.851982068616342e-13 51.316145597278435 83.70514262572769 significance 0.08425
0.5857431945059303 0.5857431945059303 0.5337054118183987 0.6428548077506759 4.463766315654226e-13 43.52654248086824 58.267120587287 significance 0.08175000000000002
0.705534964340033 0.705534964340033 0.6428548077506759 0.774326612953247 4.325189185924584e-13 36.48261958964669 39.24001482100089 significance 0.07925000000000001
0.8498256412968906 0.8498256412968906 0.774326612953247 0.9326860378093157 3.780756513604109e-13 30.258622271247535 25.567653741979893 significance 0.07675000000000001
1.0236255566458432 1.0236255566458432 0.9326860378093157 1.1234319350159858 3.4963476351461984e-13 25.395856614491134 16.933044931869563 significance 0.07425000000000001
1.2329697167285818 1.2329697167285818 1.1234319350159858 1.3531877410518223 3.3810510583448494e-13 22.053750371346055 12.038233322995485 significance 0.07325000000000001
1.4851273617582483 1.4851273617582483 1.3531877410518223 1.6299314675498144 3.1625394802702697e-13 19.25046581386372 8.584182954145518 significance 0.07175000000000001
1.7888543819998315 1.7888543819998315 1.6299314675498144 1.9632727287671683 3.2288635547701695e-13 17.18157489325869 6.415188775372205 significance 0.07075000000000002
2.1546973561994753 2.1546973561994753 1.9632727287671683 2.3647864246188517 3.1319860482969925e-13 15.56192374714005 4.941713325977468 significance 0.06975
