# %ECSV 1.0
# ---
# datatype:
# - {name: energy, unit: TeV, datatype: float64, format: 5g, description: Reconstructed Energy}
# - {name: e_ref, unit: TeV, datatype: float64, format: 5g, description: Energy center}
# - {name: e_min, unit: TeV, datatype: float64, format: 5g, description: Energy edge low}
# - {name: e_max, unit: TeV, datatype: float64, format: 5g, description: Energy edge high}
# - {name: e2dnde, unit: erg / (s cm2), datatype: float64, format: 5g, description: Energy squared times differential flux}
# - {name: excess, datatype: float64, format: 5g, description: Number of excess counts in the bin}
# - {name: background, datatype: float64, format: 5g, description: Number of background counts in the bin}
# - {name: criterion, datatype: string, description: Sensitivity-limiting criterion}
# - {name: on_radii, unit: deg, datatype: float64, format: .3e}
# meta: !!omap
# - {source: NGC 1275}
# - {offset: 0.5 deg}
# - {on_region_radius: 0.11deg}
# - {livetime: 50.0 h}
# - {site: South}
# - {'azimuth-averaged ': AverageAz}
# - {zenith-angle: 20.0 deg}
# - {obs_time: 50.0 h}
# - {irfs_label: South (20deg-50h)}
# - irfs_config: [South, AverageAz, 20deg, 50h]
# - {int_sens: 1.960031341799072e-12 1 / (s cm2)}
# schema: astropy-2.0
energy e_ref e_min e_max e2dnde excess background criterion on_radii
0.10975028199737244 0.10975028199737244 0.10000000000000002 0.12045124398502766 1.6702335267329301e-12 395.92431861897376 3959.243186189737 bkg 0.14425000000000002
0.1321955799429109 0.1321955799429109 0.12045124398502766 0.14508502177540658 1.155914843349479e-12 238.45432460086099 2084.2159243093697 significance 0.13075
0.15923122053445785 0.15923122053445785 0.14508502177540658 0.17475671356442543 9.440553875251544e-13 174.92428250410734 1105.9384881972662 significance 0.11775
0.19179598594629724 0.19179598594629724 0.17475671356442543 0.21049663543570193 8.49980380390791e-13 132.78749326432273 626.7024833629865 significance 0.10725000000000001
0.2310206509856638 0.2310206509856638 0.21049663543570193 0.2535458159289315 6.624340400331904e-13 100.72768447414799 352.68927169012505 significance 0.09625
0.27826724797454105 0.27826724797454105 0.2535458159289315 0.3053990893583862 5.432056736125473e-13 78.64577192736019 209.49664572565894 significance 0.08775000000000001
0.33517636178823623 0.33517636178823623 0.3053990893583862 0.3678570022511224 4.596091580462033e-13 63.20605104837436 131.4408405254242 significance 0.08125
0.4037240973176873 0.4037240973176873 0.3678570022511224 0.443088335297508 4.2726548031792176e-13 50.68842996664149 81.48413603348634 significance 0.07425000000000001
0.48629069748647796 0.48629069748647796 0.443088335297508 0.5337054118183987 3.5063375795191446e-13 42.341701416305156 54.80252509014173 significance 0.06975
0.5857431945059303 0.5857431945059303 0.5337054118183987 0.6428548077506759 3.0892063625339603e-13 35.74887726197588 37.47507286632951 significance 0.06575
0.705534964340033 0.705534964340033 0.6428548077506759 0.774326612953247 2.7597560620320516e-13 29.946098181543807 24.958742431877756 significance 0.06175
0.8498256412968906 0.8498256412968906 0.774326612953247 0.9326860378093157 2.3857976515060434e-13 25.277607559114767 16.74541770658923 significance 0.058750000000000004
1.0236255566458432 1.0236255566458432 0.9326860378093157 1.1234319350159858 2.0472169257621173e-13 21.596561419120267 11.434384195870752 significance 0.05625000000000001
1.2329697167285818 1.2329697167285818 1.1234319350159858 1.3531877410518223 1.831752918306768e-13 18.57725157496583 7.84301418280295 significance 0.053750000000000006
1.4851273617582483 1.4851273617582483 1.3531877410518223 1.6299314675498144 1.7497751402125965e-13 16.08019044115594 5.391799046831099 significance 0.051250000000000004
1.7888543819998315 1.7888543819998315 1.6299314675498144 1.9632727287671683 1.660481041236938e-13 13.984841775960444 3.695669954122236 significance 0.04825000000000001
2.1546973561994753 2.1546973561994753 1.9632727287671683 2.3647864246188517 1.5063810808375617e-13 12.387667769321599 2.62248265478562 significance 0.04575
2.59535976965477 2.59535976965477 2.3647864246188517 2.8484146660424647 1.5289821738690893e-13 10.907887564980683 1.796369884686417 significance 0.04325
3.126143128436118 3.126143128436118 2.8484146660424647 3.430950899100119 1.6684212967340664e-13 10.0 1.2548121315092 gamma 0.042249999999999996
3.7654782869537646 3.7654782869537646 3.430950899100119 4.132623038481584 1.7258194594748743e-13 10.0 0.8520459993199005 gamma 0.040749999999999995
4.535565438621917 4.535565438621917 4.132623038481584 4.977795859062913 2.0282255562173343e-13 10.0 0.615871968585102 gamma 0.03925000000000001
5.4631449925750735 5.4631449925750735 4.977795859062913 5.995817035276474 2.145393124211435e-13 10.0 0.4691973546639472 gamma 0.037750000000000006
6.580426104262422 6.580426104262422 5.995817035276474 7.222036206056712 2.477600477859868e-13 10.0 0.3207940499187983 gamma 0.036250000000000004
7.9262051020995745 7.9262051020995745 7.222036206056712 8.6990324512444 2.7366227423372926e-13 10.0 0.1926423173890917 gamma 0.035250000000000004
9.547212646283667 9.547212646283667 8.6990324512444 10.478092802185127 3.215559654068413e-13 10.0 0.1158127519472443 gamma 0.03375
11.499736398344554 11.499736398344554 10.478092802185127 12.62099312613762 3.5963071022362845e-13 10.0 0.09969035572659862 gamma 0.03275
13.851575546805027 13.851575546805027 12.62099312613762 15.202143223697599 4.2969040379318896e-13 10.0 0.11005603572357253 gamma 0.03175
16.684395057652548 16.684395057652548 15.202143223697599 18.311170625329332 4.813298757129849e-13 10.0 0.10357050168816405 gamma 0.03075
20.096561398318965 20.096561398318965 18.311170625329332 22.056032806430153 4.835447993442562e-13 10.0 0.07686483770822225 gamma 0.029250000000000005
24.206558202490054 24.206558202490054 22.056032806430153 26.56676588909091 6.963237686251959e-13 10.0 0.05977898848456126 gamma 0.028250000000000004
